,strategy,date,pnl
1,CDE,2007-08-14,94995.00
2,CDE,2007-08-15,96360.00
3,CDE,2007-08-16,96360.00
4,CDE,2007-08-17,94995.00
5,CDE,2007-08-20,97725.00
6,CDE,2007-08-21,98635.00
7,CDE,2007-08-22,98180.00
8,CDE,2007-08-23,99090.00
9,CDE,2007-08-24,100000.00
10,CDE,2007-08-27,101365.00
11,CDE,2007-08-28,97270.00
12,CDE,2007-08-29,100910.00
13,CDE,2007-08-30,99545.00
14,CDE,2007-08-31,99090.00
15,CDE,2007-09-04,100000.00
16,CDE,2007-09-05,98635.00
17,CDE,2007-09-06,98180.00
18,CDE,2007-09-07,97725.00
19,CDE,2007-09-10,99545.00
20,CDE,2007-09-11,101900.00
21,CDE,2007-09-12,104295.00
22,CDE,2007-09-13,103305.00
23,CDE,2007-09-14,106155.00
24,CDE,2007-09-17,108390.00
25,CDE,2007-09-18,111400.00
26,CDE,2007-09-19,108135.00
27,CDE,2007-09-20,110115.00
28,CDE,2007-09-21,111105.00
29,CDE,2007-09-24,112095.00
30,CDE,2007-09-25,114075.00
31,CDE,2007-09-26,113580.00
32,CDE,2007-09-27,113580.00
33,CDE,2007-09-28,113580.00
34,CDE,2007-10-01,111600.00
35,CDE,2007-10-02,110115.00
36,CDE,2007-10-03,111600.00
37,CDE,2007-10-04,110610.00
38,CDE,2007-10-05,108135.00
39,CDE,2007-10-08,110115.00
40,CDE,2007-10-16,109670.00
41,CDE,2007-10-17,110560.00
42,CDE,2007-10-18,111005.00
43,CDE,2007-10-19,107000.00
44,CDE,2007-10-22,109225.00
45,CDE,2007-10-23,110560.00
46,CDE,2007-10-24,111895.00
47,CDE,2007-10-25,112340.00
48,CDE,2007-10-26,112785.00
49,CDE,2007-10-29,113675.00
50,CDE,2007-10-30,111450.00
51,CDE,2007-10-31,112785.00
52,CDE,2007-11-01,111895.00
53,CDE,2007-11-02,109670.00
54,CDE,2007-11-05,113230.00
55,CDE,2007-11-06,117680.00
56,CDE,2007-11-07,111450.00
57,CDE,2007-11-13,113800.00
58,CDE,2007-11-14,110510.00
59,CDE,2007-11-15,109570.00
60,CDE,2007-11-16,110040.00
61,CDE,2007-11-19,109570.00
62,CDE,2007-11-20,108630.00
63,CDE,2007-11-21,111450.00
64,CDE,2007-11-23,110980.00
65,CDE,2007-11-26,110980.00
66,CDE,2007-11-27,114270.00
67,CDE,2007-11-28,117090.00
68,CDE,2007-11-29,117560.00
69,CDE,2007-11-30,118030.00
70,CDE,2007-12-03,118500.00
71,CDE,2007-12-04,120380.00
72,CDE,2007-12-05,122260.00
73,CDE,2007-12-06,121320.00
74,CDE,2007-12-07,123200.00
75,CDE,2007-12-10,123670.00
76,CDE,2007-12-11,124140.00
77,CDE,2007-12-12,125080.00
78,CDE,2007-12-13,126490.00
79,CDE,2007-12-14,127430.00
80,CDE,2007-12-17,129310.00
81,CDE,2008-02-12,130705.00
82,CDE,2008-02-13,132565.00
83,CDE,2008-02-14,132100.00
84,CDE,2008-02-15,133030.00
85,CDE,2008-02-19,133030.00
86,CDE,2008-02-20,134890.00
87,CDE,2008-02-21,134425.00
88,CDE,2008-02-22,135820.00
89,CDE,2008-02-25,138610.00
90,CDE,2008-02-26,138145.00
91,CDE,2008-02-27,138145.00
92,CDE,2008-02-28,138145.00
93,CDE,2008-02-29,135820.00
94,CDE,2008-03-03,137680.00
95,CDE,2008-03-04,140470.00
96,CDE,2008-03-05,143260.00
97,CDE,2008-03-06,140470.00
98,CDE,2008-03-07,141865.00
99,CDE,2008-03-10,135820.00
100,CDE,2008-03-11,135820.00
101,CDE,2008-03-12,135370.00
102,CDE,2008-03-13,136270.00
103,CDE,2008-03-14,135370.00
104,CDE,2008-03-17,134020.00
105,CDE,2008-03-18,133120.00
106,CDE,2008-03-19,135820.00
107,CDE,2008-03-20,136720.00
108,CDE,2008-03-24,135370.00
109,CDE,2008-03-25,134470.00
110,CDE,2008-03-26,138520.00
111,CDE,2008-03-27,138070.00
112,CDE,2008-03-28,140320.00
113,CDE,2008-03-31,139420.00
114,CDE,2008-04-01,139420.00
115,CDE,2008-04-02,138745.00
116,CDE,2008-04-03,138295.00
117,CDE,2008-04-04,139645.00
118,CDE,2008-07-15,140095.00
119,CDE,2008-07-16,140995.00
120,CDE,2008-07-17,140995.00
121,CDE,2008-07-18,141445.00
122,CDE,2008-07-21,142795.00
123,CDE,2008-07-22,141895.00
124,CDE,2008-07-23,140995.00
125,CDE,2008-07-24,143695.00
126,CDE,2008-07-25,142795.00
127,CDE,2008-07-28,144595.00
128,CDE,2008-07-29,144820.00
129,CDE,2008-07-30,144595.00
130,CDE,2008-07-31,144370.00
131,CDE,2008-08-01,144145.00
132,CDE,2008-08-04,148195.00
133,CDE,2008-08-05,143695.00
134,CDE,2008-08-06,143020.00
135,CDE,2008-09-16,143940.00
136,CDE,2008-09-17,140260.00
137,CDE,2008-09-18,143480.00
138,CDE,2008-09-19,140260.00
139,CDE,2008-09-22,141180.00
140,CDE,2008-09-23,141640.00
141,CDE,2008-09-24,141180.00
142,CDE,2008-09-25,143020.00
143,CDE,2008-09-26,141640.00
144,CDE,2008-09-29,134280.00
145,CDE,2008-09-30,141640.00
146,CDE,2008-10-01,138880.00
147,CDE,2008-10-02,129220.00
148,CDE,2008-11-11,129220.00
149,CDE,2008-11-12,127735.00
150,CDE,2008-11-13,128725.00
151,CDE,2008-11-14,125260.00
152,CDE,2008-11-17,129220.00
153,CDE,2008-11-18,118825.00
154,CDE,2008-12-16,122360.00
155,CDE,2008-12-17,124380.00
156,CDE,2008-12-18,127410.00
157,CDE,2008-12-19,128420.00
