,strategy_code,trade nr.,expiration,entry_date,strikes,entry_price,exit_date,DIT,DTE,pnl,max risk,position size,percentage,exit
1,DC_37_EXDTE_10_TP_0.1,1,2007-01-20,2006-11-13,790/760/720,3.25,2006-12-04,21,47,-562,-99375,75,-0.57%,sdc
2,DC_37_EXDTE_10_TP_0.1,2,2007-02-17,2006-12-11,810/780/730,1.05,2007-01-04,24,44,10575,-98935,47,10.69%,tp
3,DC_37_EXDTE_10_TP_0.1,3,2007-03-17,2007-01-08,800/760/720,7.35,2007-01-18,10,58,12920,-99960,136,12.93%,tp
4,DC_37_EXDTE_10_TP_0.1,4,2007-04-21,2007-02-12,820/790/750,3.15,2007-02-21,9,59,-2089,-99940,76,-2.09%,sdc
5,DC_37_EXDTE_10_TP_0.1,5,2007-05-19,2007-03-12,810/770/730,7.3,2007-03-13,1,67,19040,-99280,136,19.18%,tp
6,DC_37_EXDTE_10_TP_0.1,6,2007-06-16,2007-04-09,830/800/750,1.3,2007-05-09,30,38,5175,-97980,46,5.28%,sdc
7,DC_37_EXDTE_10_TP_0.1,7,2007-07-21,2007-05-14,840/810/750,-0.6,2007-06-01,18,50,6290,-99960,34,6.29%,sdc
8,DC_37_EXDTE_10_TP_0.1,8,2007-08-18,2007-06-11,850/820/770,0.8,2007-07-13,32,36,5759,-99840,48,5.77%,sdc
9,DC_37_EXDTE_10_TP_0.1,9,2007-09-22,2007-07-16,870/830/770,3.2,2007-07-24,8,60,-1719,-99760,43,-1.72%,sdc
10,DC_37_EXDTE_10_TP_0.1,10,2007-10-20,2007-08-13,810/760/700,6.15,2007-09-11,29,39,10369,-98515,61,10.53%,tp
11,DC_37_EXDTE_10_TP_0.1,11,2007-11-17,2007-09-10,810/750/680,8.15,2007-09-19,9,59,-7700,-99825,55,-7.71%,sdc
12,DC_37_EXDTE_10_TP_0.1,12,2007-12-22,2007-10-15,850/810/750,2.4,2007-11-05,21,47,439,-98560,44,0.45%,sdc
13,DC_37_EXDTE_10_TP_0.1,13,2008-01-19,2007-11-12,800/750/680,4.2,2007-12-03,21,47,11069,-99220,41,11.16%,tp
14,DC_37_EXDTE_10_TP_0.1,14,2008-02-16,2007-12-10,820/770/710,7.0,2007-12-17,7,61,3769,-98600,58,3.82%,sdc
15,DC_37_EXDTE_10_TP_0.1,15,2008-03-22,2008-01-14,740/700/640,1.9,2008-01-17,3,65,-4275,-98550,45,-4.34%,sdc
16,DC_37_EXDTE_10_TP_0.1,16,2008-04-19,2008-02-11,730/680/620,6.8,2008-02-22,11,57,12684,-99119,59,12.8%,tp
17,DC_37_EXDTE_10_TP_0.1,17,2008-05-17,2008-03-10,680/630/570,7.65,2008-03-24,14,54,-11759,-98840,56,-11.9%,sdc
18,DC_37_EXDTE_10_TP_0.1,18,2008-06-21,2008-04-14,710/670/620,4.4,2008-04-25,11,57,0,-99359,69,0.0%,sdc
19,DC_37_EXDTE_10_TP_0.1,19,2008-07-19,2008-05-12,750/720/670,-0.0,2008-06-13,32,36,13500,-100000,50,13.5%,tp
20,DC_37_EXDTE_10_TP_0.1,20,2008-08-16,2008-06-09,760/720/660,2.7,2008-06-26,17,51,4399,-99880,44,4.4%,sdc
21,DC_37_EXDTE_10_TP_0.1,21,2008-09-20,2008-07-14,700/650/590,8.1,2008-07-22,8,60,-10587,-99550,55,-10.63%,sdc
22,DC_37_EXDTE_10_TP_0.1,22,2008-10-18,2008-08-11,780/730/680,10.4,2008-08-19,8,60,16320,-99840,96,16.35%,tp
23,DC_37_EXDTE_10_TP_0.1,23,2008-11-22,2008-09-15,730/680/620,7.3,2008-09-19,4,64,-14249,-98610,57,-14.45%,sdc
24,DC_37_EXDTE_10_TP_0.1,24,2008-12-20,2008-10-13,610/540/460,11.15,2008-10-20,7,61,15274,-99405,47,15.37%,tp
25,DC_37_EXDTE_10_TP_0.1,25,2009-01-17,2008-11-10,540/480/400,6.95,2008-11-18,8,60,-5550,-99715,37,-5.57%,sdc
26,DC_37_EXDTE_10_TP_0.1,26,2009-02-21,2008-12-15,500/440/370,8.45,2008-12-22,7,61,15930,-99630,54,15.99%,tp
27,DC_37_EXDTE_10_TP_0.1,27,2009-03-21,2009-01-12,500/450/390,6.8,2009-01-23,11,57,10619,-99120,59,10.71%,tp
28,DC_37_EXDTE_10_TP_0.1,28,2009-04-18,2009-02-09,500/450/400,10.15,2009-02-11,2,66,11760,-99470,98,11.82%,tp
29,DC_37_EXDTE_10_TP_0.1,29,2009-05-16,2009-03-09,370/330/280,5.35,2009-03-12,3,65,-6175,-99775,65,-6.19%,sdc
30,DC_37_EXDTE_10_TP_0.1,30,2009-06-20,2009-04-13,500/460/400,1.45,2009-04-29,16,52,10349,-98670,46,10.49%,tp
31,DC_37_EXDTE_10_TP_0.1,31,2009-07-18,2009-05-11,530/490/440,4.7,2009-05-26,15,53,11560,-99960,68,11.56%,tp
32,DC_37_EXDTE_10_TP_0.1,32,2009-08-22,2009-06-15,540/500/440,3.65,2009-06-26,11,57,11970,-99330,42,12.05%,tp
33,DC_37_EXDTE_10_TP_0.1,33,2009-09-19,2009-07-13,510/480/430,0.7,2009-07-20,7,61,3839,-99360,48,3.86%,sdc
34,DC_37_EXDTE_10_TP_0.1,34,2009-10-17,2009-08-10,600/560/510,6.4,2009-08-31,21,47,10200,-98400,60,10.37%,tp
35,DC_37_EXDTE_10_TP_0.1,35,2009-11-21,2009-09-14,620/580/540,7.75,2009-10-01,17,51,14189,-99975,129,14.19%,tp
36,DC_37_EXDTE_10_TP_0.1,36,2009-12-19,2009-10-12,640/600/550,6.05,2009-10-23,11,57,10539,-99510,62,10.59%,tp
37,DC_37_EXDTE_10_TP_0.1,37,2010-01-16,2009-11-09,610/580/530,0.25,2009-12-01,22,46,10290,-99225,49,10.37%,tp
38,DC_37_EXDTE_10_TP_0.1,38,2010-02-20,2009-12-14,630/590/550,7.8,2009-12-24,10,58,-19839,-99839,128,-19.87%,sdc
39,DC_37_EXDTE_10_TP_0.1,39,2010-03-20,2010-01-11,660/630/590,3.2,2010-01-22,11,57,375,-98999,75,0.38%,sdc
40,DC_37_EXDTE_10_TP_0.1,40,2010-04-17,2010-02-08,610/580/530,1.0,2010-02-17,9,59,3524,-98699,47,3.57%,sdc
41,DC_37_EXDTE_10_TP_0.1,41,2010-05-22,2010-03-15,690/660/620,3.15,2010-04-06,22,46,190,-99940,76,0.19%,sdc
42,DC_37_EXDTE_10_TP_0.1,42,2010-06-19,2010-04-12,720/690/650,3.25,2010-04-22,10,58,-6375,-99375,75,-6.42%,sdc
43,DC_37_EXDTE_10_TP_0.1,43,2010-07-17,2010-05-10,710/670/600,0.9,2010-05-20,10,58,-9920,-98880,32,-10.03%,sdc
44,DC_37_EXDTE_10_TP_0.1,44,2010-08-21,2010-06-14,680/630/570,6.95,2010-06-23,9,59,11310,-98309,58,11.5%,tp
45,DC_37_EXDTE_10_TP_0.1,45,2010-09-18,2010-07-12,650/610/550,2.7,2010-07-26,14,54,220,-99879,44,0.22%,sdc
46,DC_37_EXDTE_10_TP_0.1,46,2010-10-16,2010-08-09,690/640/590,10.55,2010-08-11,2,66,21619,-99170,94,21.8%,sdc
47,DC_37_EXDTE_10_TP_0.1,47,2010-11-20,2010-09-13,680/640/580,3.0,2010-10-05,22,46,2579,-98900,43,2.61%,sdc
48,DC_37_EXDTE_10_TP_0.1,48,2010-12-18,2010-10-11,720/680/620,2.75,2010-11-04,24,44,6450,-97824,43,6.59%,sdc
49,DC_37_EXDTE_10_TP_0.1,49,2011-01-22,2010-11-15,745/705/650,3.8,2010-12-03,18,50,1590,-99640,53,1.6%,sdc
