,trade nr.,strategy_code,entry_date,expiration,exit_date,entry_underlying,entry_vix,strikes,iv_legs,entry_price,dte,dit,pnl,max_risk,position_size,percentage,exit,dailypnls
1,1,C37_P10,2006-11-13,2007-01-20,2006-12-04,771.75,10.86,790/760/720,0.14/0.17/0.20,3.25,47,21,-187.50,-99750.00,75.0,-0.19%,sdc,
2,2,C37_P10,2006-12-11,2007-02-17,2006-12-29,792.70,10.84,810/780/740,0.16/0.19/0.22,2.65,50,18,12480.00,-99060.00,78.0,12.60%,tp,
3,3,C37_P10,2007-01-08,2007-03-17,2007-01-22,778.06,11.89,790/760/720,0.17/0.20/0.22,2.35,54,14,10800.00,-99200.00,80.0,10.89%,tp,
4,4,C37_P10,2007-02-12,2007-04-21,2007-02-20,804.95,11.68,820/790/750,0.14/0.16/0.19,3.15,60,8,-2812.50,-99000.00,75.0,-2.84%,sdc,
5,5,C37_P10,2007-03-12,2007-05-19,2007-04-03,787.77,14.12,800/770/730,0.16/0.19/0.22,2.40,46,22,-2400.00,-99600.00,80.0,-2.41%,sdc,
6,6,C37_P10,2007-04-09,2007-06-16,2007-05-09,812.84,13.07,830/800/750,0.15/0.18/0.22,1.30,38,30,5405.00,-98210.00,46.0,5.50%,sdc,
7,7,C37_P10,2007-05-14,2007-07-21,2007-06-01,821.97,14.03,840/810/760,0.16/0.19/0.23,0.80,50,18,4347.50,-97995.00,47.0,4.44%,sdc,
8,8,C37_P10,2007-06-11,2007-08-18,2007-07-13,832.84,14.58,850/820/770,0.16/0.18/0.22,0.80,36,32,5875.00,-97995.00,47.0,6.00%,sdc,
9,9,C37_P10,2007-07-16,2007-09-22,2007-07-24,846.96,15.65,870/830/780,0.17/0.20/0.24,4.70,60,8,5695.00,-98825.00,67.0,5.76%,sdc,
10,10,C37_P10,2007-08-13,2007-10-20,2007-09-18,783.40,25.76,810/770/700,0.24/0.28/0.34,-0.65,32,36,13600.00,-99960.00,34.0,13.61%,tp,
11,11,C37_P10,2007-09-10,2007-11-17,2007-09-19,773.18,26.99,800/750/680,0.28/0.32/0.38,2.90,59,9,3010.00,-98685.00,43.0,3.05%,sdc,
12,12,C37_P10,2007-10-15,2007-12-22,2007-11-02,827.51,19.77,850/810/750,0.20/0.24/0.29,2.40,50,18,-660.00,-98780.00,44.0,-0.67%,sdc,
13,13,C37_P10,2007-11-12,2008-01-19,2007-12-03,770.21,29.87,800/750/680,0.26/0.31/0.37,4.20,47,21,11275.00,-99425.00,41.0,11.34%,tp,
14,14,C37_P10,2007-12-10,2008-02-16,2007-12-17,789.80,20.91,810/770/710,0.24/0.27/0.31,1.65,61,7,-6900.00,-99820.00,46.0,-6.91%,sdc,
15,15,C37_P10,2008-01-14,2008-03-22,2008-01-17,714.05,22.83,740/700/640,0.26/0.29/0.32,1.90,65,3,-4050.00,-98775.00,45.0,-4.10%,sdc,
16,16,C37_P10,2008-02-11,2008-04-19,2008-02-21,698.58,27.56,730/680/620,0.29/0.33/0.37,6.80,58,10,10030.00,-99415.00,59.0,10.09%,tp,
17,17,C37_P10,2008-03-10,2008-05-17,2008-03-24,645.25,29.48,670/630/570,0.31/0.33/0.37,1.70,54,14,2700.00,-97875.00,45.0,2.76%,sdc,
18,18,C37_P10,2008-04-14,2008-06-21,2008-04-18,686.70,23.85,710/670/620,0.26/0.29/0.32,4.40,64,4,-3105.00,-99705.00,69.0,-3.11%,sdc,
19,19,C37_P10,2008-05-12,2008-07-19,2008-06-05,732.18,17.93,750/720/670,0.22/0.24/0.27,-0.00,44,24,7840.00,-98245.00,49.0,7.98%,sdc,
20,20,C37_P10,2008-06-09,2008-08-16,2008-06-26,735.47,23.71,760/720/660,0.24/0.27/0.31,2.70,51,17,4515.00,-97825.00,43.0,4.62%,sdc,
