,strategy,date,pnl
1,P50_L200,2018-01-11,105752.50
2,P50_L200,2018-01-12,107507.50
3,P50_L200,2018-01-16,104777.50
4,P50_L200,2018-01-17,106532.50
5,P50_L200,2018-01-18,104192.50
6,P50_L200,2018-01-19,107702.50
7,P50_L200,2018-01-22,108677.50
8,P50_L200,2018-01-23,109847.50
9,P50_L200,2018-02-15,109757.50
10,P50_L200,2018-02-16,111197.50
11,P50_L200,2018-02-20,109397.50
12,P50_L200,2018-02-21,110837.50
13,P50_L200,2018-02-22,110297.50
14,P50_L200,2018-02-23,113177.50
15,P50_L200,2018-02-26,114437.50
16,P50_L200,2018-02-27,111917.50
17,P50_L200,2018-02-28,109757.50
18,P50_L200,2018-03-01,107057.50
19,P50_L200,2018-03-02,111917.50
20,P50_L200,2018-03-05,113717.50
21,P50_L200,2018-03-06,114617.50
22,P50_L200,2018-03-15,113807.50
23,P50_L200,2018-03-16,116327.50
24,P50_L200,2018-03-19,113987.50
25,P50_L200,2018-03-20,114707.50
26,P50_L200,2018-03-21,116147.50
27,P50_L200,2018-03-22,110207.50
28,P50_L200,2018-03-23,103727.50
29,P50_L200,2018-03-26,109847.50
30,P50_L200,2018-03-27,102287.50
31,P50_L200,2018-03-28,102827.50
32,P50_L200,2018-03-29,108227.50
33,P50_L200,2018-04-02,96527.50
34,P50_L200,2018-04-03,103907.50
35,P50_L200,2018-04-04,108767.50
36,P50_L200,2018-04-05,112007.50
37,P50_L200,2018-04-06,105527.50
38,P50_L200,2018-04-09,107507.50
39,P50_L200,2018-04-10,113087.50
40,P50_L200,2018-04-11,113627.50
41,P50_L200,2018-04-12,118757.50
42,P50_L200,2018-04-13,118757.50
43,P50_L200,2018-04-16,120917.50
44,P50_L200,2018-04-17,122177.50
45,P50_L200,2018-05-17,123750.00
46,P50_L200,2018-05-18,123565.00
47,P50_L200,2018-05-21,125045.00
48,P50_L200,2018-05-22,124305.00
49,P50_L200,2018-05-23,123935.00
50,P50_L200,2018-05-24,124490.00
51,P50_L200,2018-05-25,124305.00
52,P50_L200,2018-05-29,123010.00
53,P50_L200,2018-05-30,126710.00
