,strategy,date,pnl
1,DPE,2006-11-10,98025.00
2,DPE,2006-11-13,96840.00
3,DPE,2006-11-14,95457.50
4,DPE,2006-11-15,92297.50
5,DPE,2006-11-16,93680.00
6,DPE,2006-11-17,94667.50
7,DPE,2006-11-20,93680.00
8,DPE,2006-11-21,93285.00
9,DPE,2006-11-22,93680.00
10,DPE,2006-11-24,93680.00
11,DPE,2006-11-27,99210.00
12,DPE,2006-11-28,99012.50
13,DPE,2006-11-29,96642.50
14,DPE,2006-11-30,95852.50
15,DPE,2006-12-01,98617.50
16,DPE,2006-12-04,94865.00
17,DPE,2006-12-07,94460.00
18,DPE,2006-12-08,96080.00
19,DPE,2006-12-11,96485.00
20,DPE,2006-12-12,97295.00
21,DPE,2006-12-13,98915.00
22,DPE,2006-12-14,98105.00
23,DPE,2006-12-15,97700.00
24,DPE,2006-12-18,101345.00
25,DPE,2006-12-19,101345.00
26,DPE,2006-12-20,101345.00
27,DPE,2006-12-21,103370.00
28,DPE,2006-12-22,103370.00
29,DPE,2006-12-26,103775.00
30,DPE,2006-12-27,101750.00
31,DPE,2006-12-28,102560.00
32,DPE,2006-12-29,105800.00
33,DPE,2007-01-03,108635.00
34,DPE,2007-01-04,107405.00
35,DPE,2007-01-05,113085.00
36,DPE,2007-01-08,115135.00
37,DPE,2007-01-09,115955.00
38,DPE,2007-01-10,116775.00
39,DPE,2007-01-11,116365.00
40,DPE,2007-01-12,117595.00
41,DPE,2007-01-16,118825.00
42,DPE,2007-01-17,119645.00
43,DPE,2007-01-18,122515.00
44,DPE,2007-01-19,121695.00
45,DPE,2007-01-22,126615.00
46,DPE,2007-01-23,124975.00
47,DPE,2007-01-24,123540.00
48,DPE,2007-01-25,126615.00
49,DPE,2007-01-26,125385.00
50,DPE,2007-01-29,124770.00
51,DPE,2007-01-30,121900.00
52,DPE,2007-01-31,120465.00
53,DPE,2007-02-01,118005.00
54,DPE,2007-02-02,116775.00
55,DPE,2007-02-05,118825.00
56,DPE,2007-02-06,117800.00
57,DPE,2007-02-07,112500.00
58,DPE,2007-02-08,113505.00
59,DPE,2007-02-09,114705.00
60,DPE,2007-02-12,116705.00
61,DPE,2007-02-13,114705.00
62,DPE,2007-02-14,115105.00
63,DPE,2007-02-15,113905.00
64,DPE,2007-02-16,115505.00
65,DPE,2007-02-20,111505.00
66,DPE,2007-02-21,111705.00
67,DPE,2007-02-22,112505.00
68,DPE,2007-02-23,113105.00
69,DPE,2007-02-26,113905.00
70,DPE,2007-02-27,119905.00
71,DPE,2007-02-28,121905.00
72,DPE,2007-03-01,122705.00
73,DPE,2007-03-02,120305.00
74,DPE,2007-03-05,119905.00
75,DPE,2007-03-06,119905.00
76,DPE,2007-03-07,120775.00
77,DPE,2007-03-08,120340.00
78,DPE,2007-03-09,119905.00
79,DPE,2007-03-12,119905.00
80,DPE,2007-03-13,120340.00
81,DPE,2007-03-14,120775.00
82,DPE,2007-03-15,117295.00
83,DPE,2007-03-16,121210.00
84,DPE,2007-03-19,119905.00
85,DPE,2007-03-20,119470.00
86,DPE,2007-03-21,116207.50
87,DPE,2007-03-22,116425.00
88,DPE,2007-03-23,115990.00
89,DPE,2007-03-26,117077.50
90,DPE,2007-03-27,117077.50
91,DPE,2007-03-28,118165.00
92,DPE,2007-03-29,117947.50
93,DPE,2007-03-30,118165.00
94,DPE,2007-04-02,117512.50
95,DPE,2007-04-03,114685.00
96,DPE,2007-04-04,115337.50
97,DPE,2007-04-05,114250.00
98,DPE,2007-04-09,115960.00
99,DPE,2007-04-10,116380.00
100,DPE,2007-04-11,118060.00
101,DPE,2007-04-12,116800.00
102,DPE,2007-04-13,116380.00
103,DPE,2007-04-16,113440.00
104,DPE,2007-04-17,116380.00
105,DPE,2007-04-18,115540.00
106,DPE,2007-04-19,117640.00
107,DPE,2007-04-20,115120.00
108,DPE,2007-04-23,115540.00
109,DPE,2007-04-24,117220.00
110,DPE,2007-04-25,113860.00
111,DPE,2007-04-26,114910.00
112,DPE,2007-04-27,116380.00
113,DPE,2007-04-30,121840.00
114,DPE,2007-05-01,122260.00
115,DPE,2007-05-02,117430.00
116,DPE,2007-05-03,115960.00
117,DPE,2007-05-04,115960.00
118,DPE,2007-05-07,115330.00
119,DPE,2007-05-08,115750.00
120,DPE,2007-05-09,112180.00
121,DPE,2007-05-10,122470.00
122,DPE,2007-05-11,118060.00
123,DPE,2007-05-14,123520.00
124,DPE,2007-05-15,129190.00
125,DPE,2007-05-16,128770.00
126,DPE,2007-05-17,131920.00
127,DPE,2007-05-18,128980.00
128,DPE,2007-05-21,118690.00
129,DPE,2007-05-22,114070.00
130,DPE,2007-05-23,116170.00
131,DPE,2007-05-24,119950.00
132,DPE,2007-05-25,119110.00
133,DPE,2007-05-29,117850.00
134,DPE,2007-05-30,115330.00
135,DPE,2007-05-31,114070.00
136,DPE,2007-06-01,111340.00
137,DPE,2007-06-04,111130.00
138,DPE,2007-06-05,115330.00
139,DPE,2007-06-06,117845.00
140,DPE,2007-06-07,122035.00
141,DPE,2007-06-08,123690.00
142,DPE,2007-06-11,126620.00
143,DPE,2007-06-12,131250.00
144,DPE,2007-06-13,127465.00
145,DPE,2007-06-14,125370.00
146,DPE,2007-06-15,118250.00
147,DPE,2007-06-18,119920.00
148,DPE,2007-06-19,119490.00
149,DPE,2007-06-20,130815.00
150,DPE,2007-06-21,129155.00
151,DPE,2007-06-22,129570.00
152,DPE,2007-06-25,131230.00
153,DPE,2007-06-26,131645.00
154,DPE,2007-06-27,132890.00
155,DPE,2007-06-28,134135.00
156,DPE,2007-06-29,132475.00
157,DPE,2007-07-02,131230.00
158,DPE,2007-07-03,133305.00
159,DPE,2007-07-05,133305.00
160,DPE,2007-07-06,132890.00
161,DPE,2007-07-09,133720.00
162,DPE,2007-07-10,137455.00
163,DPE,2007-07-11,135695.00
164,DPE,2007-07-12,129410.00
165,DPE,2007-07-13,130735.00
166,DPE,2007-07-16,136565.00
167,DPE,2007-07-17,134905.00
168,DPE,2007-07-18,139905.00
169,DPE,2007-07-19,138165.00
170,DPE,2007-07-20,139905.00
171,DPE,2007-07-23,140775.00
172,DPE,2007-07-24,141210.00
173,DPE,2007-07-25,143820.00
174,DPE,2007-07-26,142950.00
175,DPE,2007-08-10,140550.00
176,DPE,2007-08-13,143910.00
177,DPE,2007-08-14,142470.00
178,DPE,2007-08-15,145350.00
179,DPE,2007-08-16,145350.00
180,DPE,2007-08-17,141990.00
181,DPE,2007-08-20,144390.00
182,DPE,2007-08-21,147270.00
183,DPE,2007-08-22,147750.00
184,DPE,2007-08-23,147750.00
185,DPE,2007-08-24,148230.00
186,DPE,2007-08-27,150150.00
187,DPE,2007-08-28,147750.00
188,DPE,2007-08-29,148230.00
189,DPE,2007-08-30,148230.00
190,DPE,2007-08-31,148710.00
191,DPE,2007-09-04,149670.00
192,DPE,2007-09-05,149190.00
193,DPE,2007-09-06,149200.00
194,DPE,2007-09-07,142920.00
195,DPE,2007-09-10,145800.00
196,DPE,2007-09-11,152080.00
197,DPE,2007-09-12,152555.00
198,DPE,2007-09-13,152565.00
199,DPE,2007-09-14,153995.00
200,DPE,2007-09-17,154480.00
201,DPE,2007-09-18,161735.00
202,DPE,2007-09-19,159325.00
203,DPE,2007-09-20,163660.00
204,DPE,2007-09-21,163185.00
205,DPE,2007-09-24,173780.00
206,DPE,2007-09-25,174265.00
207,DPE,2007-09-26,174750.00
208,DPE,2007-09-27,175720.00
209,DPE,2007-09-28,176205.00
210,DPE,2007-10-01,173295.00
211,DPE,2007-10-02,171840.00
212,DPE,2007-10-03,172325.00
213,DPE,2007-10-04,171355.00
214,DPE,2007-10-05,168930.00
215,DPE,2007-10-08,169900.00
216,DPE,2007-10-09,170385.00
217,DPE,2007-10-10,170835.00
218,DPE,2007-10-11,169935.00
219,DPE,2007-10-12,170385.00
220,DPE,2007-10-15,172185.00
221,DPE,2007-10-16,171285.00
222,DPE,2007-10-17,173085.00
223,DPE,2007-10-18,172185.00
224,DPE,2007-10-19,169035.00
225,DPE,2007-10-22,171285.00
226,DPE,2007-10-23,173535.00
227,DPE,2007-10-24,174885.00
228,DPE,2007-10-25,173535.00
229,DPE,2007-10-26,174435.00
230,DPE,2007-10-29,174885.00
231,DPE,2007-10-30,173535.00
232,DPE,2007-10-31,176235.00
233,DPE,2007-11-01,171285.00
234,DPE,2007-11-06,174715.00
235,DPE,2007-11-07,173245.00
236,DPE,2007-11-08,172755.00
237,DPE,2007-11-09,175205.00
238,DPE,2007-11-12,173735.00
239,DPE,2007-11-13,176675.00
240,DPE,2007-11-14,173735.00
241,DPE,2007-11-15,171775.00
242,DPE,2007-11-16,173245.00
243,DPE,2007-11-19,173735.00
244,DPE,2007-11-20,175205.00
245,DPE,2007-12-04,175685.00
246,DPE,2007-12-05,176645.00
247,DPE,2007-12-06,180485.00
248,DPE,2007-12-07,178565.00
249,DPE,2007-12-10,180485.00
250,DPE,2007-12-11,178565.00
251,DPE,2007-12-12,177605.00
252,DPE,2007-12-13,177125.00
253,DPE,2007-12-14,179045.00
254,DPE,2007-12-17,178085.00
255,DPE,2007-12-18,179525.00
256,DPE,2007-12-19,183845.00
257,DPE,2007-12-20,183365.00
258,DPE,2007-12-21,187205.00
259,DPE,2007-12-24,185285.00
260,DPE,2007-12-26,182405.00
261,DPE,2007-12-27,184805.00
262,DPE,2007-12-28,185765.00
263,DPE,2007-12-31,186725.00
264,DPE,2008-01-02,187685.00
265,DPE,2008-01-03,188165.00
266,DPE,2008-01-04,186725.00
267,DPE,2008-01-07,190085.00
268,DPE,2008-01-08,186265.00
269,DPE,2008-01-09,189555.00
270,DPE,2008-01-10,191435.00
271,DPE,2008-01-11,188615.00
272,DPE,2008-01-14,191435.00
273,DPE,2008-01-15,192375.00
274,DPE,2008-01-16,191905.00
275,DPE,2008-01-17,188145.00
276,DPE,2008-01-18,191905.00
277,DPE,2008-02-05,187630.00
278,DPE,2008-02-06,190480.00
279,DPE,2008-02-07,189055.00
280,DPE,2008-02-08,190005.00
281,DPE,2008-02-11,193330.00
282,DPE,2008-02-12,192380.00
283,DPE,2008-02-13,195705.00
284,DPE,2008-02-14,196655.00
285,DPE,2008-02-15,196655.00
286,DPE,2008-02-19,197605.00
287,DPE,2008-02-20,199505.00
288,DPE,2008-02-21,199030.00
