,strategy_code,trade nr.,expiration,entry_date,entry_underlying,entry_vix,strikes,iv_legs,entry_price,exit_date,DIT,DTE,pnl,max risk,position size,percentage,exit
1,DPE,1,2007-01-20,2006-11-09,761.36,11.04,760/730/690,0.17/0.19/0.21,2.60,2006-12-04,25,47,-5529,-99540,79,-5.55%,ew
2,DPE,2,2007-02-17,2006-12-06,796.15,11.38,800/770/730,0.17/0.19/0.21,2.25,2007-01-05,30,43,18224,-99225,81,18.37%,tp
3,DPE,3,2007-03-17,2007-01-03,785.46,12.18,790/760/720,0.17/0.19/0.22,2.10,2007-02-08,36,37,0,-99220,82,0.00%,ew
4,DPE,4,2007-04-21,2007-02-05,806.33,10.65,810/780/740,0.14/0.17/0.19,2.45,2007-03-05,28,47,5600,-99600,80,5.62%,le
5,DPE,5,2007-05-19,2007-03-05,763.22,18.84,760/730/690,0.21/0.23/0.26,1.40,2007-04-09,35,40,-5220,-99180,87,-5.26%,ew
6,DPE,6,2007-06-16,2007-04-04,810.75,13.26,810/780/740,0.17/0.19/0.23,1.85,2007-05-22,48,25,-3569,-99540,84,-3.59%,ue
7,DPE,7,2007-07-21,2007-05-08,829.52,13.21,830/800/760,0.16/0.19/0.22,1.85,2007-06-20,43,31,13860,-99540,84,13.92%,tp
8,DPE,8,2007-08-18,2007-06-05,848.13,13.74,850/820/780,0.16/0.19/0.21,1.90,2007-07-18,43,31,14280,-99960,84,14.29%,tp
9,DPE,9,2007-09-22,2007-07-10,837.69,17.47,840/810/770,0.19/0.21/0.24,1.40,2007-07-26,16,58,1740,-99180,87,1.75%,le
10,DPE,10,2007-10-20,2007-08-09,786.43,25.69,790/760/720,0.26/0.29/0.32,0.35,2007-09-24,46,26,19680,-99360,96,19.81%,tp
11,DPE,11,2007-11-17,2007-09-05,791.02,24.82,790/760/720,0.28/0.31/0.34,0.20,2007-10-09,34,39,6860,-99960,98,6.86%,ue
12,DPE,12,2007-12-22,2007-10-08,839.72,17.49,840/810/770,0.20/0.23/0.26,1.00,2007-11-01,24,51,450,-99000,90,0.45%,le
13,DPE,13,2008-01-19,2007-11-05,791.47,24.29,790/760/720,0.27/0.29/0.32,0.15,2007-11-20,15,60,3429,-99470,98,3.45%,le
14,DPE,14,2008-02-16,2007-12-03,763.69,23.55,760/730/690,0.29/0.31/0.34,0.30,2008-01-08,36,39,11640,-99910,97,11.65%,le
15,DPE,15,2008-03-22,2008-01-07,720.02,24.19,720/690/650,0.28/0.30/0.32,0.55,2008-01-18,11,64,4230,-99170,94,4.27%,le
16,DPE,16,2008-04-19,2008-02-04,724.40,25.45,720/690/650,0.29/0.31/0.33,0.45,2008-03-06,31,44,5225,-99275,95,5.26%,le
17,DPE,17,2008-05-17,2008-03-03,681.96,26.60,680/650/610,0.30/0.32/0.35,0.70,2008-04-08,36,39,11857,-99509,93,11.92%,ue
18,DPE,18,2008-06-21,2008-04-07,712.73,22.33,710/680/640,0.27/0.28/0.31,0.95,2008-05-15,38,37,8189,-99645,91,8.22%,ue
19,DPE,19,2008-07-19,2008-05-05,723.50,18.95,720/690/650,0.23/0.25/0.27,1.45,2008-06-18,44,31,15877,-99615,87,15.94%,tp
20,DPE,20,2008-08-16,2008-06-02,738.90,19.94,740/710/670,0.23/0.25/0.28,1.25,2008-06-27,25,50,7919,-99000,88,8.00%,le
21,DPE,21,2008-09-20,2008-07-07,664.08,25.22,660/630/590,0.28/0.30/0.32,1.25,2008-08-05,29,46,660,-99000,88,0.67%,ew
22,DPE,22,2008-10-18,2008-08-04,703.84,23.64,700/670/630,0.27/0.28/0.30,1.10,2008-09-18,45,30,16649,-99900,90,16.67%,tp
23,DPE,23,2008-11-22,2008-09-09,711.86,25.36,710/680/640,0.28/0.30/0.32,0.85,2008-09-29,20,54,-13800,-99820,92,-13.82%,le
24,DPE,24,2008-12-20,2008-10-06,592.45,52.84,590/560/520,0.46/0.49/0.52,-0.90,2008-10-09,3,72,-20709,-99190,109,-20.88%,le
25,DPE,25,2009-01-17,2008-11-05,518.46,54.98,520/490/450,0.51/0.54/0.59,-0.30,2008-11-12,7,66,-9270,-99910,103,-9.28%,le
26,DPE,26,2009-02-21,2008-12-09,470.11,58.58,470/440/400,0.62/0.65/0.69,-0.70,2009-01-02,24,50,21934,-99510,107,22.04%,tp
27,DPE,27,2009-03-21,2009-01-05,502.99,39.41,500/470/430,0.45/0.48/0.51,0.40,2009-01-14,9,66,-4800,-99840,96,-4.81%,le
28,DPE,28,2009-04-18,2009-02-04,450.91,43.72,450/420/380,0.45/0.49/0.53,1.05,2009-02-20,16,57,4500,-99450,90,4.52%,le
29,DPE,29,2009-05-16,2009-03-02,369.10,52.93,370/340/300,0.51/0.55/0.60,1.40,2009-03-26,24,51,-870,-99180,87,-0.88%,ew
30,DPE,30,2009-06-20,2009-04-06,446.33,41.44,450/420/380,0.49/0.51/0.53,0.75,2009-05-06,30,45,8370,-99975,93,8.37%,ew
31,DPE,31,2009-07-18,2009-05-07,491.63,34.11,490/460/420,0.42/0.44/0.47,1.20,2009-06-09,33,39,5562,-99680,89,5.58%,ue
32,DPE,32,2009-08-22,2009-06-08,527.92,29.60,530/500/460,0.35/0.37/0.41,1.40,2009-06-29,21,54,19574,-99180,87,19.74%,tp
33,DPE,33,2009-09-19,2009-07-06,492.33,29.71,490/460/420,0.34/0.36/0.40,2.05,2009-07-24,18,57,-4919,-98810,82,-4.98%,ew
34,DPE,34,2009-10-17,2009-08-05,565.25,24.98,570/540/500,0.30/0.31/0.34,2.35,2009-09-15,41,32,-3200,-98800,80,-3.24%,ue
35,DPE,35,2009-11-21,2009-09-17,615.29,23.70,620/590/550,0.28/0.30/0.33,2.40,2009-10-19,32,33,14400,-99200,80,14.52%,tp
36,DPE,36,2009-12-19,2009-10-12,613.65,23.45,610/580/540,0.28/0.30/0.33,2.20,2009-10-28,16,52,1619,-98820,81,1.64%,le
37,DPE,37,2010-01-16,2009-11-02,560.56,30.02,560/530/490,0.33/0.35/0.39,1.55,2009-12-08,36,39,215,-99330,86,0.22%,ue
38,DPE,38,2010-02-20,2009-12-08,598.93,23.45,600/570/530,0.29/0.31/0.34,2.00,2010-01-11,34,40,-4565,-99600,83,-4.58%,ew
39,DPE,39,2010-03-20,2010-01-06,637.34,19.07,640/610/570,0.25/0.27/0.30,2.45,2010-01-28,22,51,16800,-99600,80,16.87%,tp
40,DPE,40,2010-04-17,2010-02-03,610.59,21.62,610/580/540,0.25/0.27/0.31,2.75,2010-03-05,30,43,-14040,-99450,78,-14.12%,ew
41,DPE,41,2010-05-22,2010-03-12,675.42,17.85,680/650/610,0.22/0.24/0.27,2.95,2010-04-14,33,38,-11550,-99715,77,-11.58%,ue
42,DPE,42,2010-06-19,2010-04-07,696.43,16.95,700/670/630,0.21/0.23/0.26,2.65,2010-05-07,30,43,-12244,-99935,79,-12.25%,le
43,DPE,43,2010-07-17,2010-05-04,706.52,25.15,710/680/640,0.29/0.31/0.34,1.15,2010-05-07,3,71,-14239,-99235,89,-14.35%,le
44,DPE,44,2010-08-21,2010-06-07,619.79,36.80,620/590/550,0.41/0.43/0.47,0.05,2010-07-07,30,45,21284,-99494,99,21.39%,tp
45,DPE,45,2010-09-18,2010-07-06,591.22,30.41,590/560/520,0.38/0.40/0.44,0.90,2010-08-10,35,39,227,-99189,91,0.23%,ue
46,DPE,46,2010-10-16,2010-08-03,656.79,22.65,660/630/590,0.30/0.32/0.36,1.35,2010-08-12,9,65,-439,-99879,88,-0.44%,le
47,DPE,47,2010-11-20,2010-09-07,631.31,23.64,630/600/560,0.31/0.33/0.36,1.15,2010-10-12,35,39,-2002,-99234,89,-2.02%,ue
48,DPE,48,2010-12-18,2010-10-04,669.10,23.85,670/640/600,0.31/0.33/0.37,1.00,2010-11-05,32,43,450,-99000,90,0.45%,ew
49,DPE,49,2011-01-22,2010-11-09,724.43,19.14,720/690/650,0.26/0.28/0.31,1.65,2010-12-13,34,40,-3400,-99024,85,-3.43%,ew
50,DPE,50,2011-02-19,2010-12-08,763.89,17.90,760/730/690,0.24/0.26/0.29,1.45,2011-01-11,34,39,1087,-99615,87,1.09%,ue
51,DPE,51,2011-03-19,2011-01-04,786.05,17.52,790/760/720,0.25/0.27/0.30,1.10,2011-02-11,38,36,5625,-99900,90,5.63%,ue
52,DPE,52,2011-04-16,2011-02-02,796.68,17.39,800/770/730,0.24/0.26/0.28,1.55,2011-03-29,55,18,3010,-99330,86,3.03%,ew
53,DPE,53,2011-05-21,2011-03-07,815.02,20.49,820/790/750,0.26/0.28/0.30,0.70,2011-04-13,37,38,19994,-99510,93,20.09%,tp
54,DPE,54,2011-06-18,2011-04-07,851.50,17.19,850/820/780,0.23/0.25/0.27,0.90,2011-05-09,32,40,20930,-99190,91,21.10%,tp
55,DPE,55,2011-07-16,2011-05-02,854.28,16.11,850/820/780,0.23/0.25/0.27,0.30,2011-05-18,16,59,20855,-99910,97,20.87%,tp
56,DPE,56,2011-08-20,2011-06-06,797.41,18.30,800/770/730,0.24/0.25/0.28,1.35,2011-07-08,32,43,880,-99880,88,0.88%,ew
57,DPE,57,2011-09-17,2011-07-08,851.96,16.23,850/820/780,0.21/0.23/0.25,1.65,2011-07-27,19,52,-3400,-99025,85,-3.43%,le
58,DPE,58,2011-10-22,2011-08-08,667.42,44.59,670/640/600,0.40/0.43/0.46,0.00,2011-09-14,37,38,5940,-99000,99,6.00%,ue
59,DPE,59,2011-11-19,2011-09-06,675.68,37.86,680/650/610,0.40/0.43/0.46,-0.65,2011-10-03,27,47,-7949,-99109,106,-8.02%,le
60,DPE,60,2011-12-17,2011-10-03,615.75,44.30,620/590/550,0.50/0.52/0.55,-1.00,2011-10-27,24,51,14152,-99900,111,14.17%,ew
61,DPE,61,2012-01-21,2011-11-07,744.44,30.17,740/710/670,0.37/0.39/0.43,0.05,2011-11-22,15,60,-3465,-99495,99,-3.48%,le
62,DPE,62,2012-02-18,2011-12-07,747.81,28.53,750/720/680,0.36/0.38/0.41,0.55,2011-12-14,7,66,-7990,-99170,94,-8.06%,le
63,DPE,63,2012-03-17,2012-01-04,749.04,22.26,750/720/680,0.31/0.33/0.36,0.60,2012-02-03,30,43,470,-99640,94,0.47%,ew
64,DPE,64,2012-04-21,2012-02-06,827.99,17.95,830/800/760,0.24/0.26/0.28,1.25,2012-03-06,29,46,10119,-99000,88,10.22%,le
65,DPE,65,2012-05-19,2012-03-05,803.05,18.12,800/770/730,0.26/0.28/0.30,0.90,2012-04-18,44,31,16834,-99190,91,16.97%,tp
66,DPE,66,2012-06-16,2012-04-03,832.30,16.07,830/800/760,0.23/0.25/0.28,1.10,2012-04-10,7,67,-3600,-99900,90,-3.60%,le
67,DPE,67,2012-07-21,2012-05-08,792.47,19.27,790/760/720,0.24/0.26/0.29,1.20,2012-05-18,10,64,-7120,-99680,89,-7.14%,le
68,DPE,68,2012-08-18,2012-06-04,734.62,26.07,730/700/660,0.31/0.33/0.36,0.45,2012-07-03,29,46,950,-99275,95,0.96%,ew
69,DPE,69,2012-09-22,2012-07-09,804.18,18.07,800/770/730,0.23/0.25/0.27,1.35,2012-08-13,35,40,19800,-99880,88,19.82%,tp
70,DPE,70,2012-10-20,2012-08-08,800.22,15.54,800/770/730,0.22/0.24/0.26,1.65,2012-09-11,34,39,-2550,-99025,85,-2.58%,ue
71,DPE,71,2012-11-17,2012-09-05,821.88,17.75,820/790/750,0.23/0.25/0.27,1.25,2012-10-10,35,38,20239,-99000,88,20.44%,tp
72,DPE,72,2012-12-22,2012-10-08,838.85,15.07,840/810/770,0.19/0.21/0.23,2.15,2012-11-08,31,44,15580,-99630,82,15.64%,le
73,DPE,73,2013-01-19,2012-11-07,806.35,18.68,810/780/740,0.21/0.23/0.25,2.00,2012-11-15,8,65,1245,-99600,83,1.25%,le
74,DPE,74,2013-02-16,2012-12-03,820.16,16.53,820/790/750,0.20/0.22/0.24,1.95,2013-01-03,31,44,-6225,-99185,83,-6.28%,ew
75,DPE,75,2013-03-16,2013-01-03,872.02,14.73,870/840/800,0.19/0.21/0.23,2.05,2013-02-05,33,39,-3280,-98810,82,-3.32%,ue
76,DPE,76,2013-04-20,2013-02-04,899.94,14.51,900/870/830,0.18/0.19/0.21,2.35,2013-03-12,36,39,-8000,-98800,80,-8.10%,ue
77,DPE,77,2013-05-18,2013-03-11,941.23,11.82,940/910/870,0.16/0.17/0.20,2.65,2013-04-15,35,33,16985,-99935,79,17.00%,tp
78,DPE,78,2013-06-22,2013-04-12,942.33,12.33,940/910/870,0.17/0.18/0.20,2.20,2013-05-14,32,39,-6074,-98820,81,-6.15%,ue
