,strategy,date,pnl
1,P50_L200,2006-11-17,99145.00
2,P50_L200,2006-11-20,100855.00
3,P50_L200,2006-11-21,101995.00
4,P50_L200,2006-11-22,101995.00
5,P50_L200,2006-11-24,100665.00
6,P50_L200,2006-11-27,92305.00
7,P50_L200,2006-11-28,93255.00
8,P50_L200,2006-11-29,98765.00
9,P50_L200,2006-11-30,100665.00
10,P50_L200,2006-12-01,96485.00
11,P50_L200,2006-12-04,103800.00
12,P50_L200,2006-12-05,104085.00
13,P50_L200,2006-12-06,103705.00
14,P50_L200,2006-12-07,103325.00
15,P50_L200,2006-12-08,103040.00
16,P50_L200,2006-12-11,103800.00
17,P50_L200,2006-12-12,102470.00
18,P50_L200,2006-12-13,103895.00
19,P50_L200,2006-12-14,107125.00
20,P50_L200,2006-12-15,104655.00
21,P50_L200,2006-12-18,100095.00
22,P50_L200,2006-12-19,100475.00
23,P50_L200,2006-12-20,102755.00
24,P50_L200,2006-12-21,101615.00
25,P50_L200,2006-12-22,101615.00
26,P50_L200,2006-12-26,104845.00
27,P50_L200,2006-12-27,108835.00
28,P50_L200,2006-12-28,108930.00
29,P50_L200,2006-12-29,106745.00
30,P50_L200,2007-01-03,105605.00
31,P50_L200,2007-01-04,108740.00
32,P50_L200,2007-01-05,101425.00
33,P50_L200,2007-01-08,103135.00
34,P50_L200,2007-01-09,104275.00
35,P50_L200,2007-01-10,105225.00
36,P50_L200,2007-01-11,110070.00
37,P50_L200,2007-01-12,115947.50
38,P50_L200,2007-01-16,114582.50
39,P50_L200,2007-01-17,113802.50
40,P50_L200,2007-01-18,109512.50
41,P50_L200,2007-01-19,113412.50
42,P50_L200,2007-01-22,110682.50
43,P50_L200,2007-01-23,114582.50
44,P50_L200,2007-01-24,118775.00
45,P50_L200,2007-01-25,113802.50
46,P50_L200,2007-01-26,117117.50
47,P50_L200,2007-01-29,118190.00
48,P50_L200,2007-01-30,120725.00
49,P50_L200,2007-01-31,122382.50
50,P50_L200,2007-02-16,124377.50
51,P50_L200,2007-02-20,129837.50
52,P50_L200,2007-02-21,130257.50
53,P50_L200,2007-02-22,130887.50
54,P50_L200,2007-02-23,130257.50
55,P50_L200,2007-02-26,128577.50
56,P50_L200,2007-02-27,105897.50
57,P50_L200,2007-02-28,106527.50
58,P50_L200,2007-03-01,104847.50
59,P50_L200,2007-03-02,92457.50
60,P50_L200,2007-03-05,79437.50
61,P50_L200,2007-03-06,93717.50
62,P50_L200,2007-03-07,91617.50
63,P50_L200,2007-03-08,96237.50
64,P50_L200,2007-03-09,97917.50
65,P50_L200,2007-03-12,102117.50
66,P50_L200,2007-03-13,84477.50
67,P50_L200,2007-03-14,87837.50
68,P50_L200,2007-03-15,95607.50
69,P50_L200,2007-03-16,90300.00
70,P50_L200,2007-03-19,94195.00
71,P50_L200,2007-03-20,97475.00
72,P50_L200,2007-03-21,102395.00
73,P50_L200,2007-03-22,103010.00
74,P50_L200,2007-03-23,103625.00
75,P50_L200,2007-03-26,103625.00
76,P50_L200,2007-03-27,101985.00
77,P50_L200,2007-03-28,99525.00
78,P50_L200,2007-03-29,99935.00
79,P50_L200,2007-03-30,100345.00
80,P50_L200,2007-04-02,102190.00
81,P50_L200,2007-04-03,105880.00
82,P50_L200,2007-04-13,107050.00
83,P50_L200,2007-04-16,109840.00
84,P50_L200,2007-04-17,109750.00
85,P50_L200,2007-04-18,109300.00
86,P50_L200,2007-04-19,107680.00
87,P50_L200,2007-04-20,109480.00
88,P50_L200,2007-04-23,109930.00
89,P50_L200,2007-04-24,109660.00
90,P50_L200,2007-04-25,110830.00
91,P50_L200,2007-04-26,111010.00
92,P50_L200,2007-04-27,110740.00
93,P50_L200,2007-04-30,107680.00
94,P50_L200,2007-05-01,108130.00
95,P50_L200,2007-05-02,110740.00
96,P50_L200,2007-05-03,110740.00
97,P50_L200,2007-05-04,110740.00
98,P50_L200,2007-05-07,111730.00
99,P50_L200,2007-05-18,114597.50
100,P50_L200,2007-05-21,117187.50
101,P50_L200,2007-05-22,118667.50
102,P50_L200,2007-06-15,121967.50
103,P50_L200,2007-06-18,122367.50
104,P50_L200,2007-06-19,123367.50
105,P50_L200,2007-06-20,117967.50
106,P50_L200,2007-06-21,118567.50
107,P50_L200,2007-06-22,113967.50
108,P50_L200,2007-06-25,112567.50
109,P50_L200,2007-06-26,112367.50
110,P50_L200,2007-06-27,119367.50
111,P50_L200,2007-06-28,120567.50
112,P50_L200,2007-06-29,117767.50
113,P50_L200,2007-07-02,122567.50
114,P50_L200,2007-07-03,124367.50
115,P50_L200,2007-07-05,124767.50
116,P50_L200,2007-07-06,127367.50
117,P50_L200,2007-07-09,127767.50
118,P50_L200,2007-07-10,121167.50
119,P50_L200,2007-07-11,122167.50
120,P50_L200,2007-07-12,128567.50
121,P50_L200,2007-07-13,129567.50
122,P50_L200,2007-07-20,123230.00
123,P50_L200,2007-07-23,123815.00
124,P50_L200,2007-07-24,111920.00
125,P50_L200,2007-07-25,114065.00
126,P50_L200,2007-07-26,102170.00
127,P50_L200,2007-07-27,99440.00
128,P50_L200,2007-07-30,101975.00
129,P50_L200,2007-07-31,97295.00
130,P50_L200,2007-08-01,94175.00
131,P50_L200,2007-08-02,100220.00
132,P50_L200,2007-08-03,83645.00
133,P50_L200,2007-08-17,87540.00
134,P50_L200,2007-08-20,88680.00
135,P50_L200,2007-08-21,89440.00
136,P50_L200,2007-08-22,91435.00
137,P50_L200,2007-09-14,91532.50
138,P50_L200,2007-09-17,90557.50
139,P50_L200,2007-09-18,98747.50
140,P50_L200,2007-09-19,101477.50
141,P50_L200,2007-10-19,93402.50
142,P50_L200,2007-10-22,96822.50
143,P50_L200,2007-10-23,99862.50
144,P50_L200,2007-10-24,97012.50
145,P50_L200,2007-10-25,96822.50
146,P50_L200,2007-10-26,101002.50
147,P50_L200,2007-10-29,100812.50
148,P50_L200,2007-10-30,99292.50
149,P50_L200,2007-10-31,102712.50
150,P50_L200,2007-11-01,93022.50
151,P50_L200,2007-11-02,93212.50
152,P50_L200,2007-11-05,92262.50
153,P50_L200,2007-11-06,95872.50
154,P50_L200,2007-11-07,88652.50
155,P50_L200,2007-11-08,89222.50
156,P50_L200,2007-11-09,86372.50
157,P50_L200,2007-11-12,85992.50
158,P50_L200,2007-11-13,94542.50
159,P50_L200,2007-11-14,90172.50
160,P50_L200,2007-11-15,85232.50
161,P50_L200,2007-11-16,84180.00
162,P50_L200,2007-11-19,82145.00
163,P50_L200,2007-11-20,82145.00
164,P50_L200,2007-11-21,80665.00
165,P50_L200,2007-11-23,83810.00
166,P50_L200,2007-11-26,80110.00
167,P50_L200,2007-11-27,82515.00
168,P50_L200,2007-11-28,88065.00
169,P50_L200,2007-11-29,87787.50
170,P50_L200,2007-11-30,88897.50
171,P50_L200,2007-12-03,88250.00
172,P50_L200,2007-12-04,87602.50
173,P50_L200,2007-12-05,89822.50
