,trade nr.,strategy_code,entry_date,expiration,exit_date,entry_underlying,entry_vix,strikes,iv_legs,entry_price,dte,dit,pnl,max_risk,position_size,percentage,exit,dailypnls
0,1,C37_P10,2006-11-13 00:00:00,2007-01-20,2006-12-04,771.75,10.86,790/760/720,0.14/0.17/0.20,3.25,47,21,-187.5,-99750.0,75.0,-0.19%,sdc,
1,2,C37_P10,2006-12-11 00:00:00,2007-02-17,2006-12-29,792.7,10.84,810/780/740,0.16/0.19/0.22,2.65,50,18,12480.0,-99060.0,78.0,12.60%,tp,
2,3,C37_P10,2007-01-08 00:00:00,2007-03-17,2007-01-22,778.06,,790/760/720,0.17/0.20/0.22,2.35,54,14,10800.0,-99200.0,80.0,10.89%,tp,
3,4,C37_P10,2007-02-12 00:00:00,2007-04-21,2007-02-20,804.95,,820/790/750,0.14/0.16/0.19,3.15,60,8,-2812.5,-99000.0,75.0,-2.84%,sdc,
4,5,C37_P10,2007-03-12 00:00:00,2007-05-19,2007-04-03,787.77,,800/770/730,0.16/0.19/0.22,2.4,46,22,-2400.0,-99600.0,80.0,-2.41%,sdc,
5,6,C37_P10,2007-04-09 00:00:00,2007-06-16,2007-05-09,812.84,,830/800/750,0.14/0.18/0.22,1.3,38,30,5405.0,-98210.0,46.0,5.50%,sdc,
6,7,C37_P10,2007-05-14 00:00:00,2007-07-21,2007-06-01,821.97,,840/810/760,0.16/0.19/0.23,0.8,50,18,4347.5,-97995.0,47.0,4.44%,sdc,
7,8,C37_P10,2007-06-11 00:00:00,2007-08-18,2007-07-13,832.84,,850/820/770,0.16/0.18/0.22,0.8,36,32,5875.0,-97995.0,47.0,6.00%,sdc,
8,9,C37_P10,2007-07-16 00:00:00,2007-09-22,2007-08-08,846.96,,870/830/780,0.17/0.20/0.24,4.7,45,23,10720.0,-98825.0,67.0,10.85%,tp,
9,10,C37_P10,2007-08-13 00:00:00,2007-10-20,2007-10-08,783.4,,550/550/550,x/x/x,0.0,12,56,-100000.0,-100000.0,20000.0,-100.00%,dte,
10,11,C37_P10,2007-09-10 00:00:00,2007-11-17,2007-11-05,773.18,,550/550/550,x/x/x,0.0,12,56,-100000.0,-100000.0,20000.0,-100.00%,dte,
11,12,C37_P10,2007-10-15 00:00:00,2007-12-22,2007-12-10,827.51,,400/400/400,x/x/x,0.0,12,56,-100000.0,-100000.0,20000.0,-100.00%,dte,
12,13,C37_P10,2007-11-12 00:00:00,2008-01-19,2008-01-02,770.21,,500/500/500,x/x/x,0.0,17,51,-100000.0,-100000.0,20000.0,-100.00%,sdc,
13,14,C37_P10,2007-12-10 00:00:00,2008-02-16,2008-01-02,789.8,,500/500/500,x/x/x,0.0,45,23,-100000.0,-100000.0,20000.0,-100.00%,sdc,
14,15,C37_P10,2008-01-14 00:00:00,2008-03-22,2008-01-17,714.05,22.83,740/700/640,0.26/0.29/0.32,1.9,65,3,-4050.0,-98775.0,45.0,-4.10%,sdc,
15,16,C37_P10,2008-02-11 00:00:00,2008-04-19,2008-02-21,698.58,27.56,730/680/620,0.29/0.33/0.37,6.8,58,10,10030.0,-99415.0,59.0,10.09%,tp,
16,17,C37_P10,2008-03-10 00:00:00,2008-05-17,2008-03-24,645.25,29.48,670/630/570,0.31/0.33/0.37,1.7,54,14,2700.0,-97875.0,45.0,2.76%,sdc,
17,18,C37_P10,2008-04-14 00:00:00,2008-06-21,2008-04-18,686.7,23.85,710/670/620,0.26/0.29/0.32,4.4,64,4,-3105.0,-99705.0,69.0,-3.11%,sdc,
18,19,C37_P10,2008-05-12 00:00:00,2008-07-19,2008-06-05,732.18,17.93,750/720/670,0.22/0.24/0.27,-0.0,44,24,7840.0,-98245.0,49.0,7.98%,sdc,
