,strategy,date,pnl
1,C37_P10,2006-11-14,97750.00
2,C37_P10,2006-11-15,97375.00
3,C37_P10,2006-11-16,96625.00
4,C37_P10,2006-11-17,98125.00
5,C37_P10,2006-11-20,99250.00
6,C37_P10,2006-11-21,98875.00
7,C37_P10,2006-11-22,98125.00
8,C37_P10,2006-11-24,98500.00
9,C37_P10,2006-11-27,103375.00
10,C37_P10,2006-11-28,103375.00
11,C37_P10,2006-11-29,103000.00
12,C37_P10,2006-11-30,101875.00
13,C37_P10,2006-12-01,104500.00
14,C37_P10,2006-12-04,99812.50
15,C37_P10,2006-12-12,100202.50
16,C37_P10,2006-12-13,100202.50
17,C37_P10,2006-12-14,102152.50
18,C37_P10,2006-12-15,103322.50
19,C37_P10,2006-12-18,105272.50
20,C37_P10,2006-12-19,104882.50
21,C37_P10,2006-12-20,106052.50
22,C37_P10,2006-12-21,107612.50
23,C37_P10,2006-12-22,107612.50
24,C37_P10,2006-12-26,108392.50
25,C37_P10,2006-12-27,107222.50
26,C37_P10,2006-12-28,108392.50
27,C37_P10,2006-12-29,112292.50
28,C37_P10,2007-01-09,112692.50
29,C37_P10,2007-01-10,113492.50
30,C37_P10,2007-01-11,113092.50
31,C37_P10,2007-01-12,114292.50
32,C37_P10,2007-01-16,115492.50
33,C37_P10,2007-01-17,116292.50
34,C37_P10,2007-01-18,119092.50
35,C37_P10,2007-01-19,118292.50
36,C37_P10,2007-01-22,123092.50
37,C37_P10,2007-02-13,121967.50
38,C37_P10,2007-02-14,121592.50
39,C37_P10,2007-02-15,120842.50
40,C37_P10,2007-02-16,120842.50
41,C37_P10,2007-02-20,120280.00
42,C37_P10,2007-03-13,122680.00
43,C37_P10,2007-03-14,118280.00
44,C37_P10,2007-03-15,120680.00
45,C37_P10,2007-03-16,119480.00
46,C37_P10,2007-03-19,119880.00
47,C37_P10,2007-03-20,119480.00
48,C37_P10,2007-03-21,117880.00
49,C37_P10,2007-03-22,117480.00
50,C37_P10,2007-03-23,117080.00
51,C37_P10,2007-03-26,118680.00
52,C37_P10,2007-03-27,119880.00
53,C37_P10,2007-03-28,119480.00
54,C37_P10,2007-03-29,118680.00
55,C37_P10,2007-03-30,119880.00
56,C37_P10,2007-04-02,119080.00
57,C37_P10,2007-04-03,117880.00
58,C37_P10,2007-04-10,116960.00
59,C37_P10,2007-04-11,117420.00
60,C37_P10,2007-04-12,119720.00
61,C37_P10,2007-04-13,118570.00
62,C37_P10,2007-04-16,119720.00
63,C37_P10,2007-04-17,119490.00
64,C37_P10,2007-04-18,120870.00
65,C37_P10,2007-04-19,121100.00
66,C37_P10,2007-04-20,120640.00
67,C37_P10,2007-04-23,121330.00
68,C37_P10,2007-04-24,121560.00
69,C37_P10,2007-04-25,121330.00
70,C37_P10,2007-04-26,121675.00
71,C37_P10,2007-04-27,122710.00
72,C37_P10,2007-04-30,124320.00
73,C37_P10,2007-05-01,123860.00
74,C37_P10,2007-05-02,122710.00
75,C37_P10,2007-05-03,122940.00
76,C37_P10,2007-05-04,122710.00
77,C37_P10,2007-05-07,122710.00
78,C37_P10,2007-05-08,123285.00
79,C37_P10,2007-05-09,123285.00
80,C37_P10,2007-05-15,123520.00
81,C37_P10,2007-05-16,124225.00
82,C37_P10,2007-05-17,123755.00
83,C37_P10,2007-05-18,126105.00
84,C37_P10,2007-05-21,127045.00
85,C37_P10,2007-05-22,127280.00
86,C37_P10,2007-05-23,127750.00
87,C37_P10,2007-05-24,128220.00
88,C37_P10,2007-05-25,128925.00
89,C37_P10,2007-05-29,128925.00
90,C37_P10,2007-05-30,128925.00
91,C37_P10,2007-05-31,127750.00
92,C37_P10,2007-06-01,127632.50
93,C37_P10,2007-06-12,124342.50
94,C37_P10,2007-06-13,127162.50
95,C37_P10,2007-06-14,127632.50
96,C37_P10,2007-06-15,128102.50
97,C37_P10,2007-06-18,128572.50
98,C37_P10,2007-06-19,129512.50
99,C37_P10,2007-06-20,128572.50
100,C37_P10,2007-06-21,127632.50
101,C37_P10,2007-06-22,126222.50
102,C37_P10,2007-06-25,126692.50
103,C37_P10,2007-06-26,126927.50
104,C37_P10,2007-06-27,130217.50
105,C37_P10,2007-06-28,131157.50
106,C37_P10,2007-06-29,129277.50
107,C37_P10,2007-07-02,130452.50
108,C37_P10,2007-07-03,131862.50
109,C37_P10,2007-07-05,132097.50
110,C37_P10,2007-07-06,132802.50
111,C37_P10,2007-07-09,133507.50
112,C37_P10,2007-07-10,133272.50
113,C37_P10,2007-07-11,133977.50
114,C37_P10,2007-07-12,133272.50
115,C37_P10,2007-07-13,133507.50
116,C37_P10,2007-07-17,132502.50
117,C37_P10,2007-07-18,134847.50
118,C37_P10,2007-07-19,132167.50
119,C37_P10,2007-07-20,135517.50
120,C37_P10,2007-07-23,137527.50
121,C37_P10,2007-07-24,139202.50
122,C37_P10,2007-08-14,136822.50
123,C37_P10,2007-08-15,134442.50
124,C37_P10,2007-08-16,136822.50
125,C37_P10,2007-08-17,138862.50
126,C37_P10,2007-08-20,140392.50
127,C37_P10,2007-08-21,141582.50
128,C37_P10,2007-08-22,143112.50
129,C37_P10,2007-08-23,143792.50
130,C37_P10,2007-08-24,144132.50
131,C37_P10,2007-08-27,144982.50
132,C37_P10,2007-08-28,141242.50
133,C37_P10,2007-08-29,143452.50
134,C37_P10,2007-08-30,142602.50
135,C37_P10,2007-08-31,143962.50
136,C37_P10,2007-09-04,144812.50
137,C37_P10,2007-09-05,142262.50
138,C37_P10,2007-09-06,142942.50
139,C37_P10,2007-09-07,140732.50
140,C37_P10,2007-09-10,142772.50
141,C37_P10,2007-09-11,146227.50
142,C37_P10,2007-09-12,147562.50
143,C37_P10,2007-09-13,148537.50
144,C37_P10,2007-09-14,149987.50
145,C37_P10,2007-09-17,152082.50
146,C37_P10,2007-09-18,157102.50
147,C37_P10,2007-09-19,155812.50
148,C37_P10,2007-10-16,155372.50
149,C37_P10,2007-10-17,156692.50
150,C37_P10,2007-10-18,156472.50
151,C37_P10,2007-10-19,152512.50
152,C37_P10,2007-10-22,154712.50
153,C37_P10,2007-10-23,156692.50
154,C37_P10,2007-10-24,157352.50
155,C37_P10,2007-10-25,156912.50
156,C37_P10,2007-10-26,158232.50
157,C37_P10,2007-10-29,158672.50
158,C37_P10,2007-10-30,157572.50
159,C37_P10,2007-10-31,159552.50
160,C37_P10,2007-11-01,155152.50
161,C37_P10,2007-11-02,155152.50
162,C37_P10,2007-11-13,154742.50
163,C37_P10,2007-11-14,154127.50
164,C37_P10,2007-11-15,153512.50
165,C37_P10,2007-11-16,155152.50
166,C37_P10,2007-11-19,157612.50
167,C37_P10,2007-11-20,158022.50
168,C37_P10,2007-11-21,157817.50
169,C37_P10,2007-11-23,159047.50
170,C37_P10,2007-11-26,158432.50
171,C37_P10,2007-11-27,162327.50
172,C37_P10,2007-11-28,163557.50
173,C37_P10,2007-11-29,164377.50
174,C37_P10,2007-11-30,164992.50
175,C37_P10,2007-12-03,166427.50
176,C37_P10,2007-12-11,164127.50
177,C37_P10,2007-12-12,162977.50
178,C37_P10,2007-12-13,162977.50
179,C37_P10,2007-12-14,162287.50
180,C37_P10,2007-12-17,159527.50
181,C37_P10,2008-01-15,158627.50
182,C37_P10,2008-01-16,159977.50
183,C37_P10,2008-01-17,155477.50
184,C37_P10,2008-02-12,155772.50
185,C37_P10,2008-02-13,152527.50
186,C37_P10,2008-02-14,156952.50
187,C37_P10,2008-02-15,159902.50
188,C37_P10,2008-02-19,160492.50
189,C37_P10,2008-02-20,160787.50
190,C37_P10,2008-02-21,165507.50
191,C37_P10,2008-03-11,168432.50
192,C37_P10,2008-03-12,166857.50
193,C37_P10,2008-03-13,167082.50
194,C37_P10,2008-03-14,166407.50
195,C37_P10,2008-03-17,165732.50
196,C37_P10,2008-03-18,166632.50
197,C37_P10,2008-03-19,167532.50
198,C37_P10,2008-03-20,166857.50
199,C37_P10,2008-03-24,168207.50
200,C37_P10,2008-04-15,168207.50
201,C37_P10,2008-04-16,165792.50
202,C37_P10,2008-04-17,166827.50
203,C37_P10,2008-04-18,165102.50
204,C37_P10,2008-05-13,166572.50
205,C37_P10,2008-05-14,166327.50
206,C37_P10,2008-05-15,167307.50
207,C37_P10,2008-05-16,166817.50
208,C37_P10,2008-05-19,167307.50
209,C37_P10,2008-05-20,166817.50
210,C37_P10,2008-05-21,165347.50
211,C37_P10,2008-05-22,167797.50
212,C37_P10,2008-05-23,167062.50
213,C37_P10,2008-05-27,169267.50
214,C37_P10,2008-05-28,170247.50
215,C37_P10,2008-05-29,171962.50
216,C37_P10,2008-05-30,172452.50
217,C37_P10,2008-06-02,172942.50
218,C37_P10,2008-06-03,172697.50
219,C37_P10,2008-06-04,172452.50
220,C37_P10,2008-06-05,172942.50
221,C37_P10,2008-06-10,172942.50
222,C37_P10,2008-06-11,173802.50
223,C37_P10,2008-06-12,173587.50
224,C37_P10,2008-06-13,176597.50
225,C37_P10,2008-06-16,177457.50
226,C37_P10,2008-06-17,178747.50
227,C37_P10,2008-06-18,177887.50
228,C37_P10,2008-06-19,178962.50
229,C37_P10,2008-06-20,177672.50
230,C37_P10,2008-06-23,178102.50
231,C37_P10,2008-06-24,176382.50
232,C37_P10,2008-06-25,180897.50
233,C37_P10,2008-06-26,177457.50
234,C37_P10,2008-07-15,177677.50
235,C37_P10,2008-07-16,180097.50
236,C37_P10,2008-07-17,180537.50
237,C37_P10,2008-07-18,179437.50
238,C37_P10,2008-07-21,179877.50
239,C37_P10,2008-07-22,180427.50
240,C37_P10,2008-08-12,182102.50
241,C37_P10,2008-08-13,180762.50
242,C37_P10,2008-08-14,181097.50
243,C37_P10,2008-08-15,180762.50
244,C37_P10,2008-08-18,182772.50
245,C37_P10,2008-08-19,183777.50
246,C37_P10,2008-08-20,185787.50
247,C37_P10,2008-08-21,188467.50
248,C37_P10,2008-08-22,188467.50
249,C37_P10,2008-08-25,187462.50
250,C37_P10,2008-08-26,188467.50
251,C37_P10,2008-08-27,191482.50
252,C37_P10,2008-09-16,194012.50
253,C37_P10,2008-09-17,189182.50
254,C37_P10,2008-09-18,194242.50
255,C37_P10,2008-09-19,191712.50
256,C37_P10,2008-10-14,192297.50
257,C37_P10,2008-10-15,189567.50
258,C37_P10,2008-10-16,192687.50
259,C37_P10,2008-10-17,193662.50
260,C37_P10,2008-10-20,200877.50
261,C37_P10,2008-10-21,203802.50
262,C37_P10,2008-11-11,203642.50
263,C37_P10,2008-11-12,201082.50
264,C37_P10,2008-11-13,204282.50
265,C37_P10,2008-11-14,202362.50
266,C37_P10,2008-11-17,199962.50
267,C37_P10,2008-11-18,193242.50
268,C37_P10,2008-12-16,192702.50
269,C37_P10,2008-12-17,193782.50
270,C37_P10,2008-12-18,198642.50
271,C37_P10,2008-12-19,202422.50
272,C37_P10,2008-12-22,209442.50
273,C37_P10,2009-01-13,208852.50
274,C37_P10,2009-01-14,211507.50
275,C37_P10,2009-01-15,211802.50
276,C37_P10,2009-01-16,212982.50
277,C37_P10,2009-01-20,211802.50
278,C37_P10,2009-01-21,216522.50
279,C37_P10,2009-01-22,217112.50
280,C37_P10,2009-01-23,220357.50
281,C37_P10,2009-02-10,229667.50
282,C37_P10,2009-02-11,232607.50
283,C37_P10,2009-03-10,231647.50
284,C37_P10,2009-03-11,231967.50
285,C37_P10,2009-03-12,226847.50
286,C37_P10,2009-04-14,222247.50
287,C37_P10,2009-04-15,224317.50
288,C37_P10,2009-04-16,229377.50
289,C37_P10,2009-04-17,232827.50
290,C37_P10,2009-04-20,226847.50
291,C37_P10,2009-04-21,230527.50
292,C37_P10,2009-04-22,231217.50
293,C37_P10,2009-04-23,230067.50
294,C37_P10,2009-04-24,232827.50
295,C37_P10,2009-04-27,232137.50
296,C37_P10,2009-04-28,233747.50
297,C37_P10,2009-04-29,237427.50
298,C37_P10,2009-05-12,239772.50
299,C37_P10,2009-05-13,236087.50
300,C37_P10,2009-05-14,237762.50
301,C37_P10,2009-05-15,238097.50
302,C37_P10,2009-05-18,244462.50
303,C37_P10,2009-05-19,245802.50
304,C37_P10,2009-05-20,245802.50
305,C37_P10,2009-05-21,245467.50
306,C37_P10,2009-05-22,246137.50
307,C37_P10,2009-05-26,249152.50
308,C37_P10,2009-06-16,249782.50
309,C37_P10,2009-06-17,249782.50
310,C37_P10,2009-06-18,251672.50
311,C37_P10,2009-06-19,253352.50
312,C37_P10,2009-06-22,251042.50
313,C37_P10,2009-06-23,251462.50
314,C37_P10,2009-06-24,253562.50
315,C37_P10,2009-06-25,259022.50
316,C37_P10,2009-06-26,261332.50
317,C37_P10,2009-07-14,262292.50
318,C37_P10,2009-07-15,263972.50
319,C37_P10,2009-07-16,264452.50
320,C37_P10,2009-07-17,264692.50
321,C37_P10,2009-07-20,265412.50
322,C37_P10,2009-08-11,264432.50
323,C37_P10,2009-08-12,266637.50
324,C37_P10,2009-08-13,266392.50
325,C37_P10,2009-08-14,263942.50
326,C37_P10,2009-08-17,258062.50
327,C37_P10,2009-08-18,262472.50
328,C37_P10,2009-08-19,265167.50
329,C37_P10,2009-08-20,268107.50
330,C37_P10,2009-08-21,270557.50
331,C37_P10,2009-08-24,270557.50
332,C37_P10,2009-08-25,272027.50
333,C37_P10,2009-08-26,272272.50
334,C37_P10,2009-08-27,273497.50
335,C37_P10,2009-08-28,273987.50
336,C37_P10,2009-08-31,273007.50
337,C37_P10,2009-09-01,269332.50
338,C37_P10,2009-09-02,269087.50
339,C37_P10,2009-09-03,271782.50
340,C37_P10,2009-09-04,276437.50
341,C37_P10,2009-09-15,274517.50
342,C37_P10,2009-09-16,261717.50
343,C37_P10,2009-09-17,262357.50
344,C37_P10,2009-09-18,259797.50
345,C37_P10,2009-09-21,262997.50
346,C37_P10,2009-09-22,259157.50
347,C37_P10,2009-09-23,262357.50
348,C37_P10,2009-09-24,278357.50
349,C37_P10,2009-09-25,285397.50
350,C37_P10,2009-09-28,271317.50
351,C37_P10,2009-09-29,271317.50
352,C37_P10,2009-09-30,280917.50
353,C37_P10,2009-10-01,291157.50
354,C37_P10,2009-10-13,292707.50
355,C37_P10,2009-10-14,289297.50
356,C37_P10,2009-10-15,291467.50
357,C37_P10,2009-10-16,294567.50
358,C37_P10,2009-10-19,295187.50
359,C37_P10,2009-10-20,297667.50
360,C37_P10,2009-10-21,299217.50
361,C37_P10,2009-10-22,300457.50
362,C37_P10,2009-10-23,302007.50
363,C37_P10,2009-11-10,302497.50
364,C37_P10,2009-11-11,302987.50
365,C37_P10,2009-11-12,299802.50
366,C37_P10,2009-11-13,302252.50
367,C37_P10,2009-11-16,304457.50
368,C37_P10,2009-11-17,306172.50
369,C37_P10,2009-11-18,306907.50
370,C37_P10,2009-11-19,305192.50
371,C37_P10,2009-11-20,306417.50
372,C37_P10,2009-11-23,309357.50
373,C37_P10,2009-11-24,310827.50
374,C37_P10,2009-11-25,311072.50
375,C37_P10,2009-11-27,306662.50
376,C37_P10,2009-11-30,307887.50
377,C37_P10,2009-12-01,312542.50
378,C37_P10,2009-12-15,316352.50
379,C37_P10,2009-12-16,314447.50
380,C37_P10,2009-12-17,320162.50
381,C37_P10,2009-12-18,318892.50
382,C37_P10,2009-12-21,311272.50
383,C37_P10,2009-12-22,304922.50
384,C37_P10,2009-12-23,297937.50
385,C37_P10,2009-12-24,293492.50
386,C37_P10,2010-01-12,291992.50
387,C37_P10,2010-01-13,294617.50
388,C37_P10,2010-01-14,295742.50
389,C37_P10,2010-01-15,295742.50
390,C37_P10,2010-01-19,295367.50
391,C37_P10,2010-01-20,297617.50
392,C37_P10,2010-01-21,298367.50
393,C37_P10,2010-01-22,294242.50
394,C37_P10,2010-02-09,294477.50
395,C37_P10,2010-02-10,294242.50
396,C37_P10,2010-02-11,297062.50
397,C37_P10,2010-02-12,297532.50
398,C37_P10,2010-02-16,298707.50
399,C37_P10,2010-02-17,298002.50
400,C37_P10,2010-03-16,298752.50
401,C37_P10,2010-03-17,297627.50
402,C37_P10,2010-03-18,298002.50
403,C37_P10,2010-03-19,299127.50
404,C37_P10,2010-03-22,298377.50
405,C37_P10,2010-03-23,297627.50
406,C37_P10,2010-03-24,299502.50
407,C37_P10,2010-03-25,298752.50
408,C37_P10,2010-03-26,300252.50
409,C37_P10,2010-03-29,302127.50
410,C37_P10,2010-03-30,303252.50
411,C37_P10,2010-03-31,304002.50
412,C37_P10,2010-04-01,303252.50
413,C37_P10,2010-04-05,301002.50
414,C37_P10,2010-04-06,298565.00
415,C37_P10,2010-04-13,298940.00
416,C37_P10,2010-04-14,294815.00
417,C37_P10,2010-04-15,294440.00
418,C37_P10,2010-04-16,294440.00
419,C37_P10,2010-04-19,296315.00
420,C37_P10,2010-04-20,295940.00
421,C37_P10,2010-04-21,295190.00
422,C37_P10,2010-04-22,292565.00
423,C37_P10,2010-05-11,292565.00
424,C37_P10,2010-05-12,293205.00
425,C37_P10,2010-05-13,292725.00
426,C37_P10,2010-05-14,289685.00
427,C37_P10,2010-05-17,289845.00
428,C37_P10,2010-05-18,289045.00
429,C37_P10,2010-05-19,288885.00
430,C37_P10,2010-05-20,282805.00
431,C37_P10,2010-06-15,282515.00
432,C37_P10,2010-06-16,279905.00
433,C37_P10,2010-06-17,281935.00
434,C37_P10,2010-06-18,282805.00
435,C37_P10,2010-06-21,289185.00
436,C37_P10,2010-06-22,290635.00
437,C37_P10,2010-06-23,294405.00
438,C37_P10,2010-07-13,293760.00
439,C37_P10,2010-07-14,296125.00
440,C37_P10,2010-07-15,295265.00
441,C37_P10,2010-07-16,293545.00
442,C37_P10,2010-07-19,294835.00
443,C37_P10,2010-07-20,295695.00
444,C37_P10,2010-07-21,295480.00
445,C37_P10,2010-07-22,296125.00
446,C37_P10,2010-07-23,296555.00
447,C37_P10,2010-07-26,294835.00
448,C37_P10,2010-08-10,293830.00
449,C37_P10,2010-08-11,296845.00
450,C37_P10,2010-09-14,297705.00
451,C37_P10,2010-09-15,298350.00
452,C37_P10,2010-09-16,299425.00
453,C37_P10,2010-09-17,296415.00
454,C37_P10,2010-09-20,299210.00
455,C37_P10,2010-09-21,298780.00
456,C37_P10,2010-09-22,298350.00
457,C37_P10,2010-09-23,299210.00
458,C37_P10,2010-09-24,300285.00
459,C37_P10,2010-09-27,300500.00
460,C37_P10,2010-09-28,300500.00
461,C37_P10,2010-09-29,300500.00
462,C37_P10,2010-09-30,299425.00
463,C37_P10,2010-10-01,300070.00
464,C37_P10,2010-10-04,302005.00
